time (s)	det(V)
4362.105590	0.000442	
4362.107590	0.001800	
4362.109589	0.000609	
4362.111589	0.004589	
4362.113590	0.005524	
4362.117588	0.004229	
4362.119590	0.001786	
4362.121590	-0.000366	
4362.125590	0.000509	
4362.127589	0.002014	
4362.129589	0.005671	
4362.131589	0.003247	
4362.133590	0.004184	
4362.137589	0.004843	
4362.139590	-0.001665	
4362.143590	-0.001938	
4362.145590	0.002994	
4362.147589	0.002897	
4362.149590	0.003205	
4362.151590	0.005008	
4362.155589	0.000242	
4362.157590	-0.003319	
4362.159590	-0.003774	
4362.163590	-0.001351	
4362.165589	0.000627	
4362.167591	0.004253	
4362.169589	0.001026	
4362.171590	-0.001116	
4362.173590	0.000033	
4362.177590	-0.004138	
4362.181590	-0.000184	
4362.183590	0.002012	
4362.185591	0.002111	
4362.187589	-0.001383	
4362.189589	-0.001014	
4362.193588	-0.002983	
4362.195590	-0.001666	
4362.197589	-0.000613	
4362.199590	-0.001290	
4362.201590	0.002138	
4362.203590	-0.001913	
4362.205590	-0.001856	
4362.207590	-0.001631	
4362.209589	-0.003442	
4362.211590	0.000035	
4362.213589	0.000063	
4362.215592	-0.002198	
4362.219589	0.000571	
4362.221591	-0.004018	
4362.223590	-0.001828	
4362.225590	-0.003587	
4362.227590	-0.002227	
4362.229590	0.001429	
4362.231590	-0.000465	
4362.233590	0.000837	
4362.235590	-0.001069	
4362.237590	-0.004746	
4362.239589	-0.003818	
4362.243590	-0.005132	
4362.245590	0.000060	
4362.247590	0.000442	
4362.249590	0.000208	
4362.251590	0.001704	
4362.255589	-0.002346	
4362.257590	-0.005340	
4362.259590	-0.006202	
4362.263590	-0.002376	
4362.265590	-0.001936	
4362.267589	0.000932	
4362.269589	-0.002318	
4362.271591	-0.003081	
4362.273590	-0.002960	
4362.277590	-0.007334	
4362.281590	-0.003326	
4362.283590	-0.000419	
4362.285590	-0.001187	
4362.287591	-0.005088	
4362.289590	-0.003906	
4362.293589	-0.005143	
4362.295589	-0.005053	
4362.297589	-0.004302	
4362.301590	-0.004458	
4362.303590	-0.004138	
4362.305590	-0.004770	
4362.307589	-0.004424	
4362.309590	-0.006513	
4362.311589	-0.002513	
4362.315590	-0.003138	
4362.319590	-0.002214	
4362.321590	-0.004287	
4362.323590	-0.003080	
4362.325590	-0.005802	
4362.327590	-0.003704	
4362.331588	-0.000043	
4362.333590	-0.001358	
4362.335589	-0.001122	
4362.339590	-0.004289	
4362.341590	-0.002414	
4362.343590	-0.001041	
4362.345590	0.001114	
4362.347589	0.002846	
4362.349590	0.003414	
4362.353590	0.003894	
4362.357590	-0.000970	
4362.359589	0.000817	
4362.361590	0.004477	
4362.363589	0.007210	
4362.365590	0.005885	
4362.369589	0.009676	
4362.371590	0.003144	
4362.373590	0.004970	
4362.377590	0.003744	
4362.379589	0.011910	
4362.381589	0.011381	
4362.383590	0.014276	
4362.385590	0.013939	
4362.389589	0.012566	
4362.391589	0.012175	
4362.395590	0.012106	
4362.397590	0.019293	
4362.399589	0.021890	
4362.401589	0.024691	
4362.403589	0.021055	
4362.407589	0.021727	
4362.409590	0.021646	
4362.411589	0.025856	
4362.415591	0.028509	
4362.417589	0.035326	
4362.419589	0.034324	
4362.421590	0.034734	
4362.423590	0.036816	
4362.425590	0.036857	
4362.429590	0.039257	
4362.433590	0.045246	
4362.435590	0.053231	
4362.437589	0.053983	
4362.439590	0.057170	
4362.441590	0.058383	
4362.445589	0.061676	
4362.447590	0.071562	
4362.449590	0.074188	
4362.451589	0.082130	
4362.453591	0.081662	
4362.455591	0.086313	
4362.457590	0.092735	
4362.459590	0.094792	
4362.461590	0.104566	
4362.463590	0.111516	
4362.465590	0.114072	
4362.467590	0.122074	
4362.471589	0.125755	
4362.473590	0.138694	
4362.475590	0.144545	
4362.477589	0.155020	
4362.479590	0.165692	
4362.481590	0.172319	
4362.485589	0.184143	
4362.487590	0.195436	
4362.489591	0.206878	
4362.493590	0.215356	
4362.495590	0.242218	
4362.497589	0.253718	
4362.499588	0.265653	
4362.501590	0.280704	
4362.505589	0.289366	
4362.507590	0.312599	
4362.511590	0.325219	
4362.513590	0.361626	
4362.515590	0.376154	
4362.517590	0.392864	
4362.519590	0.402064	
4362.523589	0.416398	
4362.525589	0.446627	
4362.527590	0.466576	
4362.529590	0.487363	
4362.531592	0.506004	
4362.533588	0.528248	
4362.535590	0.547079	
4362.537591	0.562326	
4362.539590	0.583282	
4362.541589	0.601279	
4362.543590	0.619766	
4362.545589	0.643254	
4362.549591	0.662830	
4362.551590	0.707245	
4362.553590	0.725443	
4362.555589	0.746112	
4362.557590	0.766616	
4362.559590	0.784091	
4362.563589	0.809822	
4362.565590	0.847642	
4362.567590	0.870425	
4362.571590	0.884221	
4362.573590	0.923937	
4362.575590	0.937663	
4362.577589	0.957265	
4362.579589	0.975726	
4362.581590	0.990335	
4362.585591	1.005622	
4362.589590	1.026192	
4362.591590	1.048967	
4362.593590	1.057944	
4362.595589	1.069619	
4362.597590	1.075215	
4362.601589	1.081351	
4362.603590	1.082925	
4362.605589	1.083255	
4362.607589	1.082168	
4362.609590	1.079100	
4362.611589	1.080195	
4362.613590	1.076839	
4362.615589	1.069621	
4362.617590	1.063944	
4362.619590	1.051036	
4362.621589	1.036006	
4362.623590	1.024513	
4362.627589	1.007336	
4362.629590	0.981316	
4362.631589	0.963708	
4362.633590	0.947106	
4362.635589	0.925512	
4362.637590	0.899134	
4362.641588	0.879318	
4362.643589	0.826319	
4362.645590	0.803662	
4362.649590	0.777748	
4362.651589	0.727433	
4362.653590	0.695389	
4362.655589	0.664825	
4362.657589	0.636963	
4362.661588	0.605506	
4362.663590	0.548890	
4362.667590	0.518011	
4362.669590	0.457830	
4362.671590	0.426493	
4362.673589	0.399569	
4362.675590	0.369788	
4362.679589	0.341545	
4362.681590	0.279895	
4362.683591	0.253204	
4362.687590	0.222490	
4362.689589	0.161307	
4362.691590	0.129358	
4362.693589	0.098494	
4362.695590	0.071740	
4362.697590	0.041953	
4362.701588	0.011030	
4362.705590	-0.052888	
4362.707590	-0.112169	
4362.709590	-0.144712	
4362.711590	-0.171271	
4362.713590	-0.200497	
4362.717589	-0.230762	
4362.719590	-0.294523	
4362.721590	-0.328540	
4362.723590	-0.357855	
4362.725590	-0.390247	
4362.727590	-0.416787	
4362.729590	-0.438650	
4362.731590	-0.470681	
4362.733590	-0.498726	
4362.735589	-0.529626	
4362.737591	-0.565749	
4362.739590	-0.595268	
4362.743588	-0.627627	
4362.745590	-0.684111	
4362.747589	-0.712788	
4362.749590	-0.739901	
4362.751589	-0.768153	
4362.753588	-0.799977	
4362.757589	-0.828686	
4362.759589	-0.886075	
4362.761589	-0.907097	
4362.765590	-0.929487	
4362.767590	-0.971497	
4362.769591	-0.996609	
4362.771590	-1.017403	
4362.773589	-1.034121	
4362.777589	-1.053951	
4362.779590	-1.079577	
4362.781590	-1.091590	
4362.783589	-1.098723	
4362.785590	-1.106305	
4362.787590	-1.115756	
4362.789589	-1.118702	
4362.791589	-1.123484	
4362.793589	-1.124219	
4362.795589	-1.118573	
4362.797589	-1.118119	
4362.799589	-1.113049	
4362.803590	-1.104884	
4362.805590	-1.091264	
4362.807590	-1.078435	
4362.809590	-1.068193	
4362.811590	-1.051138	
4362.813590	-1.033682	
4362.815589	-1.018830	
4362.817590	-0.999933	
4362.819589	-0.986132	
4362.823589	-0.968701	
4362.825590	-0.930119	
4362.827590	-0.905782	
4362.829590	-0.881679	
4362.831590	-0.861014	
4362.833590	-0.836900	
4362.835590	-0.815295	
4362.837590	-0.796959	
4362.839590	-0.775521	
4362.841591	-0.754502	
4362.845590	-0.731974	
4362.847590	-0.686238	
4362.849595	-0.662670	
4362.851590	-0.640271	
4362.853590	-0.623332	
4362.855589	-0.604887	
4362.857590	-0.583006	
4362.859590	-0.567300	
4362.861590	-0.545275	
4362.863591	-0.525034	
4362.865590	-0.507646	
4362.869590	-0.487878	
4362.871589	-0.456563	
4362.873589	-0.438491	
4362.875590	-0.428247	
4362.877590	-0.413476	
4362.881589	-0.396275	
4362.883590	-0.367068	
4362.885590	-0.355563	
4362.887589	-0.344167	
4362.889591	-0.329653	
4362.891590	-0.316863	
4362.893590	-0.304634	
4362.895590	-0.289272	
4362.897589	-0.278106	
4362.899589	-0.265900	
4362.901589	-0.255486	
4362.903591	-0.248981	
